#wl	elem	excit	loggf	vdwaals	Do
5516.709	25.0	2.18	-2.897	-7.54	 
5516.718	25.0	2.18	-4.39	-7.54	 
5516.728	25.0	2.18	-3.236	-7.54	 
5516.743	25.0	2.18	-2.883	-7.54	 
5516.757	25.0	2.18	-2.682	-7.54	 
5516.771	25.0	2.18	-2.597	-7.54	 
5516.79	25.0	2.18	-2.849	-7.54	 
5516.809	25.0	2.18	-3.765	-7.54	 
5516.828	25.0	2.18	-2.338	-7.54	 
5517.065	26.0	4.21	-1.966	-7.48	 
5517.201	23.0	0.0	-3.417	-7.78	 
5517.533	14.0	5.08	-2.392	-7.32	 
5518.07	22.0	2.41	-1.397	-7.52	 
5518.107	606.0	0.69	-0.044	0.0	6.25
5518.359	58.1	0.55	-1.703	0.0	 
5518.374	606.0	0.62	-0.131	0.0	6.25
5518.566	26.0	5.03	-2.044	-7.37	 
5519.394	606.0	0.59	0.113	0.0	6.25
5519.554	606.0	1.09	-0.423	0.0	6.25
5519.556	606.0	0.59	-0.744	0.0	6.25
5519.58	26.0	6.15	-0.004	-7.51	 
5519.799	606.0	1.01	0.18	0.0	6.25
5519.84	24.0	3.89	-2.918	-7.73	 
5519.849	606.0	1.01	0.351	0.0	6.25
5520.03	606.0	0.69	-0.013	0.0	6.25
5520.179	58.1	1.67	-0.245	0.0	 
5520.21	26.0	4.45	-2.942	-7.51	 
5520.467	606.0	0.91	-4.827	0.0	6.25
5520.486	606.0	0.91	0.438	0.0	6.25
5520.497	21.0	1.86	0.319	-7.72	 
5520.927	26.0	5.01	-1.564	-7.35	 
5521.125	26.0	3.63	-2.998	-7.8	 
5521.131	20.0	1.89	-4.3210000000000015	-7.48	 
5521.138	22.0	3.42	-1.341	-7.47	 
5521.28	26.0	4.43	-2.25	-7.51	 
5521.426	28.0	3.84	-2.187	-7.58	 
5521.538	606.0	0.61	-0.757	0.0	6.25
5521.562	39.1	1.74	-0.933	-7.75	 
5521.578	606.0	0.68	0.027	0.0	6.25
5522.163	606.0	0.9	0.176	0.0	6.25
5522.233	606.0	0.9	-0.752	0.0	6.25
5522.425	606.0	0.68	-3.686	0.0	6.25
5522.444	26.0	4.21	-1.450	-7.257	 
5522.458	23.0	2.37	-1.1740000000000002	-7.79	 
5522.461	58.0	0.55	1.389	0.0	 
5524.778	606.0	0.67	-5.241	0.0	6.25
5524.813	607.0	1.28	-0.905	0.0	7.63
5524.99	27.0	4.11	-0.216	-7.5	 
5525.117	26.1	3.27	-3.978	-7.876	 
5525.544	26.0	4.23	-1.084	-7.259	 
5525.705	20.0	5.18	-0.452	-6.98	 
5525.847	26.0	5.11	-1.948	-7.33	 
5525.88	24.0	2.97	-3.423	-7.79	 
5525.911	59.1	0.42	-1.136	0.0	 
5525.92	24.1	3.76	-4.44	-7.86	 
5526.178	606.0	0.97	0.483	0.0	6.25
5526.188	606.0	0.67	-4.306	0.0	6.25
5526.199	606.0	0.67	-3.427	0.0	6.25
5526.202	26.0	5.07	-8.424	-7.31	 
5526.306	606.0	0.97	-0.03	0.0	6.25
5526.800	21.1	1.768	-0.010	-7.81	 
5531.983	26.0	4.91	-1.371	-7.351	 
5532.032	58.1	1.7	-7.749	0.0	 
5532.088	606.0	0.54	-4.148	0.0	6.25
5532.119	606.0	0.82	-0.089	0.0	6.25
5532.119	26.0	2.85	-4.682	-7.67	 
5532.156	606.0	0.93	0.379	0.0	6.25
5532.186	606.0	0.82	-3.142	0.0	6.25
5532.203	606.0	0.93	-3.388	0.0	6.25
5532.264	26.0	5.07	-6.995	-7.47	 
5532.272	58.1	0.17	-2.281	0.0	 
5532.329	606.0	1.02	-2.583	0.0	6.25
5532.332	606.0	0.93	-3.01	0.0	6.25
5532.347	606.0	0.82	0.346	0.0	6.25
5532.747	26.0	3.57	-2.12	-7.762	 
5532.866	26.0	4.45	-1.5219999999999998	-7.52	 
