#Wavelength	ele	EP	newloggf	vdwaals	Do	EW
5447.507	606.0	0.88	0.311	0.000	6.25	3.32
5447.550	25.0	6.24	0.383	-7.550	nan	1.43
5447.673	606.0	0.88	-0.137	0.000	6.25	1.21
5447.675	22.0	3.57	-0.553	-7.660	nan	0.69
5453.955	58.0	0.52	-0.562	0.000	nan	0.00
5453.987	26.0	4.15	-2.529	-7.470	nan	7.40
5453.989	822.0	0.20	-0.684	0.000	6.94	0.00
5454.091	112.0	0.73	-0.664	0.000	1.34	0.16
5454.099	22.1	1.57	-3.438	-7.840	nan	5.29
5454.102	606.0	1.41	0.116	0.000	6.25	0.65
5454.554	822.0	0.21	-0.658	0.000	6.94	0.00
5454.570	27.0	4.07	0.028	-7.510	nan	12.80
5454.572	822.0	0.20	-0.827	0.000	6.94	0.00
5455.103	26.0	3.25	-3.661	-7.820	nan	4.20
5455.132	822.0	0.21	-0.635	0.000	6.94	0.00
5455.203	6.0	8.85	-2.195	-6.600	nan	0.00
5455.230	22.0	3.18	-1.423	-7.520	nan	0.00
5455.233	21.0	2.00	-0.331	-7.560	nan	0.00
5455.389	26.0	4.47	-2.146	-7.360	nan	8.72
5455.453	822.0	0.20	0.234	0.000	6.94	0.00
5455.459	26.0	4.32	-0.050	-7.520	nan	96.30
5455.462	66.1	2.42	-0.542	0.000	nan	0.07
5455.477	822.0	0.21	0.178	0.000	6.94	0.00
5455.575	112.0	0.50	-1.311	0.000	1.34	0.00
5455.601	25.0	2.95	-4.390	-7.770	nan	0.00
5455.619	26.0	1.01	-2.091	-7.749	nan	125.32
5455.663	606.0	0.89	-0.787	0.000	6.25	0.27
5455.737	606.0	0.89	0.212	0.000	6.25	2.61
5455.745	822.0	0.22	-0.611	0.000	6.94	0.00
5455.864	606.0	0.89	0.478	0.000	6.25	4.70
5456.339	26.0	5.11	-7.097	-7.490	nan	0.00
5456.349	24.0	4.42	-1.599	-7.420	nan	0.00
5456.349	606.0	0.95	0.447	0.000	6.25	3.85
5456.379	112.0	0.68	-0.303	0.000	1.34	0.40
5456.383	58.0	0.17	-0.794	0.000	nan	0.01
5456.385	822.0	0.22	-0.592	0.000	6.94	0.00
5456.456	606.0	0.84	-1.263	0.000	6.25	0.10
5456.495	822.0	0.22	-0.688	0.000	6.94	0.00
5456.513	26.0	3.60	-3.093	-7.550	nan	6.86
5456.594	112.0	1.18	0.394	0.000	1.34	0.00
5456.617	68.0	1.20	-2.000	0.000	nan	0.00
5456.645	606.0	0.84	-0.364	0.000	6.25	0.79
5456.650	822.0	0.21	-0.590	0.000	6.94	0.00
5457.069	606.0	1.44	0.032	0.000	6.25	0.50
5457.100	606.0	0.82	-0.112	0.000	6.25	1.47
5457.118	23.1	2.28	-2.897	-7.870	nan	0.48
5457.125	112.0	0.82	-1.029	0.000	1.34	0.06
5461.550	26.0	4.45	-1.584	-7.160	nan	25.80
5461.572	822.0	0.26	-0.480	0.000	6.94	0.00
5462.454	606.0	0.80	-0.235	0.000	6.25	1.16
5462.493	28.0	3.85	-0.876	-7.221	nan	40.16
5462.502	112.0	0.69	0.357	0.000	1.34	0.00
5462.511	112.0	0.77	-1.247	0.000	1.34	0.04
5462.940	606.0	1.36	-0.169	0.000	6.25	0.38
5462.959	26.0	4.47	-0.131	-7.460	nan	75.32
5463.063	112.0	0.76	0.426	0.000	1.34	2.93
5463.077	606.0	1.36	0.595	0.000	6.25	46.53
5463.118	822.0	0.27	-0.495	0.000	6.94	0.00
5463.143	112.0	0.54	0.402	0.000	1.34	4.13
5463.273	22.0	3.32	-2.824	-7.540	nan	0.00
5463.275	26.0	4.43	0.110	-7.166	nan	85.97
5463.291	822.0	0.27	0.350	0.000	6.94	0.00
5463.300	606.0	0.93	-0.535	0.000	6.25	0.43
5463.411	822.0	0.26	-0.456	0.000	6.94	0.00
5463.464	20.0	4.88	-0.659	-7.150	nan	4.10
5463.793	26.0	3.55	-3.204	-7.760	nan	6.02
5463.810	112.0	0.74	-0.938	0.000	1.34	0.08
5463.921	28.0	3.85	-2.497	-7.500	nan	1.83
5463.924	822.0	0.27	-0.481	0.000	6.94	0.00
5463.964	24.0	3.44	-1.052	-7.750	nan	8.26
5463.982	606.0	1.26	-0.078	0.000	6.25	0.59
5463.996	112.0	0.89	-1.336	0.000	1.34	0.02
5464.280	26.0	4.14	-1.565	-7.770	nan	37.90
5464.292	822.0	0.26	-0.445	0.000	6.94	0.00
5465.119	822.0	0.28	-0.434	0.000	6.94	0.00
5465.150	606.0	0.81	0.112	0.000	6.25	2.50
5465.334	58.0	0.29	0.060	0.000	nan	0.03
5465.346	606.0	0.81	0.219	0.000	6.25	3.17
5465.899	822.0	0.17	0.088	0.000	6.94	1.30
5466.395	26.0	4.37	-0.355	-7.510	nan	79.10
5466.987	26.0	3.57	-2.225	-7.820	nan	33.29
5466.992	26.0	3.65	-3.708	-7.550	nan	1.61
5467.379	606.0	0.78	-0.267	0.0	6.25	4.0
5467.417	822.0	0.3	0.367	0.0	6.94	4.0
5467.405	26.1	6.81	-1.758	-7.835	nan	4.0
5467.772	26.0	3.55	-3.323	-7.770	nan	4.67
5467.792	23.0	2.37	-1.020	-7.750	nan	0.33
5467.806	822.0	0.17	-0.914	0.000	6.94	0.00
5472.510	24.0	3.55	-1.834	-7.780	nan	1.18
5472.538	606.0	0.83	-0.465	0.000	6.25	12.52
5472.678	606.0	1.19	-0.455	0.000	6.25	0.29
5472.690	22.0	1.44	-1.701	-7.700	nan	5.36
5472.707	606.0	0.83	-0.549	0.000	6.25	0.53
5472.709	26.0	4.21	-1.495	-7.253	nan	34.44
5472.716	606.0	1.19	-0.450	0.000	6.25	0.29
5473.163	26.0	4.19	-2.024	-7.173	nan	18.00
5473.363	42.0	2.50	-0.814	0.000	nan	0.04
5473.379	58.0	0.97	-0.213	0.000	nan	0.00
5473.385	39.1	1.74	-0.893	-7.750	nan	7.46
